Country,index,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
India,population,566651479,579871075,593526633,607606569,622096682,636992593,652279308,667917437,683857312,700058589,716493309,733151769,750033539,767146806,784490842,802051806,819800055,837699675,855707358,873785449,891910180,910064576,928226051,946373316,964486155,982553253,1000558144,1018471141,1036258683,1053898107,1071374264,1088694080,1105885689,1122991192,1140042863,1157038539,1173971629,1190863679,1207740408,1224614327
Indonesia,population,121405753,124507744,127662293,130863441,134105926,137382075,140688052,144026720,147403681,150820044,154275429,157758440,161245684,164706919,168119209,171472345,174767379,178006800,181197879,184345939,187451800,190512441,193525648,196488446,199400339,202257039,205063468,207839287,210610776,213395411,216203499,219026365,221839235,224606531,227303175,229918547,232461746,234951154,237414495,239870937
Iran,population,29421198,30197689,31006191,31866190,32793173,33788867,34853522,35998637,37237306,38576541,40012129,41533339,43130529,44790735,46497235,48257311,50052662,51810746,53437770,54870583,56071545,57067645,57940444,58808655,59757114,60815686,61955730,63133032,64278307,65342319,66313553,67212850,68061695,68893323,69732007,70582086,71435498,72289291,73137148,73973630
Iraq,population,10358219,10700247,11049889,11410460,11783644,12170881,12569201,12970635,13364514,13743534,14106693,14457565,14799456,15137560,15477228,15818309,16164205,16528250,16927393,17373767,17871623,18417924,19008018,19633844,20288226,20972915,21686777,22416190,23143629,23857458,24552000,25233067,25914982,26618523,27359461,28140999,28960581,29821136,30724614,31671591
Ireland,population,2997907,3039128,3085214,3134031,3183759,3233907,3284081,3332644,3377699,3417798,3452589,3482073,3505714,3523059,3534103,3538519,3537244,3533181,3530188,3531219,3537626,3549302,3565952,3586685,3610958,3638457,3669860,3706687,3750945,3803780,3865820,3935781,4010506,4085676,4158042,4226428,4291258,4352866,4412181,4469900
Israel,population,2936585,3033863,3137027,3239653,3336984,3428067,3514143,3595324,3672295,3745797,3816400,3884594,3951159,4017024,4083495,4149457,4216475,4291626,4384139,4499949,4642324,4807603,4986162,5164345,5332079,5486774,5630785,5765115,5892366,6014953,6131313,6241593,6352106,6471236,6604572,6755143,6920182,7092324,7260949,7418400
Italy,population,53700117,54074032,54438147,54781374,55095516,55377233,55627789,55849349,56046086,56221171,56376115,56510204,56622072,56709575,56772141,56808914,56823401,56824700,56824792,56832330,56856059,56895154,56937520,56965197,56968039,56938342,56888300,56851522,56873677,56986329,57199219,57498867,57864332,58263782,58671206,59082100,59495243,59891479,60248654,60550848
Jamaica,population,1895729,1924871,1955153,1984678,2012156,2036770,2059107,2080943,2104823,2132390,2164601,2200377,2236865,2270069,2297232,2317284,2331427,2341957,2352279,2364909,2380447,2398249,2418080,2439337,2461516,2484672,2508867,2533550,2558003,2581648,2604321,2625968,2646269,2664897,2681653,2696334,2709042,2720282,2730774,2741052
Japan,population,105145914,106619818,108089192,109498615,110808090,111996339,113071149,114057650,114996088,115914688,116823958,117711145,118554190,119320901,119990547,120553260,121023579,121434677,121832924,122251184,122703017,123177552,123653405,124097649,124486744,124814986,125091571,125325617,125531619,125720310,125893623,126048366,126184149,126299414,126392944,126464789,126515486,126544640,126551705,126535920
Jordan,population,1752689,1825322,1887681,1944733,2000538,2055198,2108538,2164159,2226485,2298691,2383227,2479683,2584859,2693837,2803422,2910375,3016540,3129651,3260496,3415567,3599359,3806045,4019284,4216536,4382005,4510082,4606717,4682018,4751501,4827096,4910056,4998372,5096790,5210369,5342002,5495117,5667443,5848952,6025592,6187227
Kenya,population,11657321,12082989,12529622,12997274,13486116,13995982,14527391,15081923,15661593,16267558,16899958,17557466,18237830,18937969,19655192,20387701,21134404,21894026,22665447,23447177,24240108,25042330,25846436,26642887,27425720,28191597,28944780,29696410,30462154,31253701,32076186,32927864,33805301,34702176,35614576,36540948,37485246,38455418,39462188,40512682
Kuwait,population,811187,870446,930744,991885,1053753,1116083,1178930,1242872,1308718,1376963,1445699,1514013,1584310,1659961,1742083,1835819,1937316,2028166,2083550,2087687,2031004,1924077,1795976,1687552,1627911,1628120,1678812,1763693,1857217,1940786,2009588,2069816,2126786,2189485,2264014,2351441,2447818,2548351,2646286,2736732
